,HDI_Rank,Country,Human_Development_Index,Life_Expectancy_At_Birth,Expected_Years_Of_Schooling,Mean_Years_Of_Schooling,GNI_Per_Capita,GNI_Per_Capita_Rank_Minus_HDI_Rank,iso_n3
111,111,Turkmenistan,0.715,68.2,11.2,10.3,"14,909",-32,795
112,113,Venezuela (Bolivarian Republic of),0.711,72.1,12.8,10.3,"7,045",11,862
113,114,South Africa,0.709,64.1,13.8,10.2,"12,129",-14,710
114,115,"Palestine, State of",0.708,74.1,13.4,9.2,"6,417",12,275
115,116,Egypt,0.707,72,13.3,7.4,"11,466",-14,818
116,117,Marshall Islands,0.704,74.1,12.4,10.9,"5,039",21,584
117,117,Viet Nam,0.704,75.4,12.7,8.3,"7,433",3,704
118,119,Gabon,0.703,66.5,13,8.7,"13,930",-30,266
119,120,Kyrgyzstan,0.697,71.5,13,11.1,"4,864",23,417
120,121,Morocco,0.686,76.7,13.7,5.6,"7,368",1,504
121,122,Guyana,0.682,69.9,11.4,8.5,"9,455",-10,328
122,123,Iraq,0.674,70.6,11.3,7.3,"10,801",-16,368
123,124,El Salvador,0.673,73.3,11.7,6.9,"8,359",-6,222
124,125,Tajikistan,0.668,71.1,11.7,10.7,"3,954",25,762
125,126,Cabo Verde,0.665,73,12.7,6.3,"7,019",-1,132
126,127,Guatemala,0.663,74.3,10.8,6.6,"8,494",-10,320
127,128,Nicaragua,0.66,74.5,12.3,6.9,"5,284",6,558
128,129,Bhutan,0.654,71.8,13,4.1,"10,746",-21,64
129,130,Namibia,0.646,63.7,12.6,7,"9,357",-17,516
130,131,India,0.645,69.7,12.2,6.5,"6,681",-5,356
131,132,Honduras,0.634,75.3,10.1,6.6,"5,308",1,340
132,133,Bangladesh,0.632,72.6,11.6,6.2,"4,976",7,50
133,134,Kiribati,0.63,68.4,11.8,8,"4,260",12,296
134,135,Sao Tome and Principe,0.625,70.4,12.7,6.4,"3,952",16,-3
135,136,Micronesia (Federated States of),0.62,67.9,11.5,7.8,"3,983",13,583
136,137,Lao People's Democratic Republic,0.613,67.9,11,5.3,"7,413",-16,418
137,138,Eswatini (Kingdom of),0.611,60.2,11.8,6.9,"7,919",-19,-2
138,138,Ghana,0.611,64.1,11.5,7.3,"5,269",-3,288
139,140,Vanuatu,0.609,70.5,11.7,7.1,"3,105",20,548
140,141,Timor-Leste,0.606,69.5,12.6,4.8,"4,440",3,626
141,142,Nepal,0.602,70.8,12.8,5,"3,457",13,524
142,143,Kenya,0.601,66.7,11.3,6.6,"4,244",5,404
143,144,Cambodia,0.594,69.8,11.5,5,"4,246",3,116
144,145,Equatorial Guinea,0.592,58.7,9.7,5.9,"13,944",-57,226
145,146,Zambia,0.584,63.9,11.5,7.2,"3,326",10,894
146,147,Myanmar,0.583,67.1,10.7,5,"4,961",-6,104
147,148,Angola,0.581,61.2,11.8,5.2,"6,104",-17,24
148,149,Congo,0.574,64.6,11.7,6.5,"2,879",13,178
149,150,Zimbabwe,0.571,61.5,11,8.5,"2,666",14,716
150,151,Solomon Islands,0.567,73,10.2,5.7,"2,253",17,90
151,151,Syrian Arab Republic,0.567,72.7,8.9,5.1,"3,613",2,760
152,153,Cameroon,0.563,59.3,12.1,6.3,"3,581",1,120
153,154,Pakistan,0.557,67.3,8.3,5.2,"5,005",-15,586
154,155,Papua New Guinea,0.555,64.5,10.2,4.7,"4,301",-10,598
155,156,Comoros,0.554,64.3,11.2,5.1,"3,099",5,174
156,157,Mauritania,0.546,64.9,8.6,4.7,"5,135",-21,478
157,158,Benin,0.545,61.8,12.6,3.8,"3,254",0,204
158,159,Uganda,0.544,63.4,11.4,6.2,"2,123",15,800
159,160,Rwanda,0.543,69,11.2,4.4,"2,155",12,646
160,161,Nigeria,0.539,54.7,10,6.7,"4,910",-19,566
161,162,Côte d'Ivoire,0.538,57.8,10,5.3,"5,069",-25,384
162,163,Tanzania (United Republic of),0.529,65.5,8.1,6.1,"2,600",2,834
163,164,Madagascar,0.528,67,10.2,6.1,"1,596",16,450
164,165,Lesotho,0.527,54.3,11.3,6.5,"3,151",-6,426
165,166,Djibouti,0.524,67.1,6.8,4.1,"5,689",-34,262
166,167,Togo,0.515,61,12.7,4.9,"1,602",12,768
167,168,Senegal,0.512,67.9,8.6,3.2,"3,309",-11,686
168,169,Afghanistan,0.511,64.8,10.2,3.9,"2,229",0,4
169,170,Haiti,0.51,64,9.7,5.6,"1,709",7,332
170,170,Sudan,0.51,65.3,7.9,3.8,"3,829",-18,729
171,172,Gambia,0.496,62.1,9.9,3.9,"2,168",-1,270
172,173,Ethiopia,0.485,66.6,8.8,2.9,"2,207",-3,231
173,174,Malawi,0.483,64.3,11.2,4.7,"1,035",13,454
174,175,Congo (Democratic Republic of the),0.48,60.7,9.7,6.8,"1,063",11,180
175,175,Guinea-Bissau,0.48,58.3,10.6,3.6,"1,996",1,624
176,175,Liberia,0.48,64.1,9.6,4.8,"1,258",8,430
177,178,Guinea,0.477,61.6,9.4,2.8,"2,405",-12,324
178,179,Yemen,0.47,66.1,8.8,3.2,"1,594",2,887
179,180,Eritrea,0.459,66.3,5,3.9,"2,793",-17,232
180,181,Mozambique,0.456,60.9,10,3.5,"1,250",3,508
181,182,Burkina Faso,0.452,61.6,9.3,1.6,"2,133",-9,854
182,182,Sierra Leone,0.452,54.7,10.2,3.7,"1,668",-4,694
183,184,Mali,0.434,59.3,7.5,2.4,"2,269",-17,466
184,185,Burundi,0.433,61.6,11.1,3.3,754,4,108
185,185,South Sudan,0.433,57.9,5.3,4.8,"2,003",-10,728
186,187,Chad,0.398,54.2,7.3,2.5,"1,555",-5,148
187,188,Central African Republic,0.397,53.3,7.6,4.3,993,0,140
188,189,Niger,0.394,62.4,6.5,2.1,"1,201",-4,562
